#FileName,displayname,description,rarity,supply,Background:value,Body:value,Eyes:value,Prop:value,Accessory:value,Effect:value,Pose:value,Aura:value
doomscroller.png,Doomscroller,Forever surfing the digital void — doom in one paw and memes in the other.,Common,67,Background:Digital Cosmos,Body:Purple/Pink,Eyes:Infinity,Prop:Smartphone,Accessory:None,Effect:Speed Lines,Pose:Surfing,Aura:Faint Glow
gridwatcher.png,Grid Watcher,Watches every block. Misses nothing. Scrolls everything.,Common,67,Background:Cyber Grid,Body:Purple/Pink,Eyes:Infinity,Prop:None,Accessory:None,Effect:Sparkles,Pose:Sitting,Aura:None
feedphantom.png,Feed Phantom,Haunting the blockchain feed since block zero. You won't see him coming.,Common,66,Background:Blockchain Nodes,Body:Purple/Pink,Eyes:Infinity,Prop:Scroll,Accessory:None,Effect:Floating Coins,Pose:Standing,Aura:None
voidrider.png,Void Rider,Born from the void and riding the wave between chains.,Uncommon,63,Background:Void Space,Body:Cyan,Eyes:Infinity,Prop:Hologram,Accessory:Neon Crown,Effect:Lightning,Pose:Surfing,Aura:None
chainghost.png,Chain Ghost,They say he was once a trader. Now he runs the chains.,Uncommon,62,Background:Matrix Rain,Body:Cyan,Eyes:Pixel,Prop:None,Accessory:Gold Chain,Effect:Speed Lines,Pose:Running,Aura:Neon Glow
sigmascroll.png,Sigma Scroll,The sigma grindset incarnate. No emotion. Only charts.,Rare,45,Background:Neon City,Body:Gold,Eyes:Laser,Prop:Scroll,Accessory:Diamond Collar,Effect:Fire,Pose:Standing,Aura:Neon Halo
dgenoracle.png,Degen Oracle,Sees the next pump before it happens. Rarely wrong. Never early.,Rare,45,Background:Blockchain Nodes,Body:Gold,Eyes:Moon,Prop:Crystal Ball,Accessory:None,Effect:None,Pose:Meditating,Aura:Cosmic Halo
flamekeeper.png,Flame Keeper,Guardian of the flame. The market burns — he surfs.,Epic,25,Background:Void Space,Body:Red/Orange,Eyes:Diamond,Prop:Smartphone,Accessory:Cape,Effect:Fire + Lightning,Pose:Surfing,Aura:Burning Halo
shadowglitch.png,Shadow Glitch,A glitch in the matrix. A ghost in the feed. Pure chaos energy.,Epic,25,Background:Neon City Rain,Body:Red/Orange,Eyes:Hidden Shades,Prop:Hologram,Accessory:Hoodie,Effect:Glitch,Pose:Running,Aura:Dark Energy
genesisone.png,Genesis One,The first. The original. Born at the genesis block.,Legendary,13,Background:All-Color Nodes,Body:Silver,Eyes:Infinity Gold,Prop:Scroll + Phone,Accessory:Crown,Effect:Rainbow,Pose:Standing,Aura:Rainbow
cosmicsovereign.png,Cosmic Sovereign,Rules the cosmos from the nebula throne. All chains bow.,Legendary,12,Background:Nebula,Body:Silver,Eyes:Laser Gold,Prop:Crystal Ball,Accessory:Cape + Collar,Effect:Fire + Cosmic,Pose:Levitating,Aura:Combined
infinitescroller.png,The Infinite Scroller,Beyond rarity. Beyond time. The scroll never ends.,Mythic,10,Background:The Universe,Body:Rainbow Shift,Eyes:Infinity White,Prop:All Three,Accessory:All Four,Effect:All Effects,Pose:God-Pose,Aura:Full Rainbow
